Offense_Code,Offense_Category,Description,Police_District,Beat,Occurence_Date
5499,TRAFFIC,23110(B) VC THROW AT VEH W/INT,5,5A,2021/04/16 00:06:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,2021/04/07 21:27:00+00
2299,BURGLARY,459 PC BURG VEHICLE,2,2C,2021/04/06 18:10:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,2021/03/29 22:29:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6E,2021/04/12 12:20:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,2,2A,2021/04/15 02:07:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6D,2021/04/12 15:40:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,2021/04/12 22:00:00+00
2399,LARCENY,484 PC PETTY THEFT,2,2B,2021/04/13 15:30:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6B,2021/04/13 05:20:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6B,2021/04/13 09:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,4,4A,2021/04/02 19:30:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,2021/04/13 03:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/04/13 07:00:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/04/06 22:30:00+00
2604,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,UI,UI,2021/04/15 18:00:00+00
2399,LARCENY,484 PC PETTY THEFT,4,4C,2021/04/08 21:20:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/04/06 03:35:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/04/10 04:43:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,2021/04/08 01:27:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/04/13 01:30:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,2021/03/31 16:30:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,2021/04/05 17:17:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6C,2021/03/28 17:11:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,2021/04/06 05:30:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2B,2021/04/03 00:00:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,2021/04/13 18:50:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/09 22:57:00+00
2399,LARCENY,484 PC PETTY THEFT,4,4C,2021/02/22 20:30:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6E,2021/04/13 01:15:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6D,2021/04/10 05:50:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,2021/04/10 06:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,5,5C,2021/04/16 06:30:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/10 17:14:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,2021/04/14 17:21:00+00
1399,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6B,2021/04/14 21:45:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,2021/04/15 00:15:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,2021/04/14 20:37:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,2021/04/05 20:19:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5A,2021/04/15 01:52:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,2021/04/05 08:01:00+00
2308,THEFT,488 PC PETTY THEFT,1,1A,2021/04/15 05:00:00+00
5212,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,4,4C,2021/04/15 10:08:00+00
5212,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,6,6B,2021/04/15 11:50:00+00
2099,ARSON,451(C) PC ARSON STRUC/LAND,2,2C,2021/04/16 18:10:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,2021/04/05 09:30:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,2021/04/15 15:03:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,2021/04/05 19:48:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,2021/04/16 09:35:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,2021/04/09 15:10:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6D,2021/04/05 22:30:00+00
2399,LARCENY,484 PC PETTY THEFT,1,1A,2021/04/13 01:49:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,2021/04/13 22:15:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,2021/04/15 13:30:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6E,2021/03/31 08:00:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/09 21:35:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/04/15 07:00:00+00
1299,ROBBERY,211 PC ROBBERY-BUSINESS,6,6D,2021/04/15 17:29:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,2021/04/12 18:12:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3A,2021/04/15 13:30:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,2021/04/15 20:06:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/04/12 18:36:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,2021/04/15 17:30:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,2021/04/15 02:00:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/04/12 19:58:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/04/16 14:50:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,2021/04/14 15:46:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,2021/01/05 16:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,2021/04/14 19:00:00+00
2404,AUTO THEFT,10855 VC LSE/RENT NOT RETURNED,5,5A,2021/04/14 00:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/04/16 12:20:00+00
2604,FRAUD,530.5(C)(3) POSS ID OF 10+,UI,UI,2021/04/15 04:44:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/01 04:50:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6C,2021/04/02 05:43:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,2021/02/25 11:28:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/04/07 21:54:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/10 00:44:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,2021/04/09 21:42:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,2021/04/11 16:36:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4C,2021/04/14 02:10:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,2021/04/14 09:27:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,2021/04/12 19:58:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3B,2021/04/12 21:10:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,2021/04/13 04:03:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/03/31 04:18:00+00
3599,NARCOTICS,11350(A) POSS CONTROLLED SUBST,5,5A,2021/04/15 23:17:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2C,2021/04/16 00:10:00+00
4801,OBSTRUCTING,69 PC OBST/RESIST EXEC OFC-FEL,5,5C,2021/04/16 05:20:00+00
2803,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,6,6B,2021/04/16 06:57:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,2,2A,2021/04/16 09:54:00+00
5212,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,5,5B,2021/04/15 21:40:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,2021/04/09 17:56:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,3,3B,2021/04/17 08:55:00+00
5404,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,2,2B,2021/04/17 04:00:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,2021/04/16 06:54:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/04/14 12:30:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1C,2021/04/15 15:33:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1A,2021/04/16 17:53:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,2021/04/16 07:57:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2C,2021/04/17 02:07:00+00
5499,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,4,4B,2021/04/17 06:40:00+00
5499,TRAFFIC,2800.2(A) VC EVADE RECKLES-FEL,UI,UI,2021/04/17 04:12:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,4,4C,2021/04/16 22:34:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,2021/04/16 23:10:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,4,4B,2021/04/16 23:09:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,2021/04/14 12:40:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,2021/04/17 00:06:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6E,2021/04/14 05:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6B,2021/04/16 22:20:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,2021/04/11 16:53:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,4,4B,2021/04/16 00:32:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2A,2021/04/14 14:00:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1B,2021/04/16 23:32:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2C,2021/04/16 12:30:00+00
2803,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2C,2021/04/16 17:30:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2B,2021/04/16 07:39:00+00
2803,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,6,6B,2021/04/16 22:36:00+00
2803,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,3,3A,2021/04/16 23:17:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,2021/04/17 03:30:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,1,1A,2021/04/16 10:55:00+00
5403,TRAFFIC,23152(F) DUI DRUGS,2,2B,2021/04/17 05:08:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,2021/04/17 01:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,2021/04/15 12:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,2021/04/15 11:30:00+00
5499,TRAFFIC,2800.2(A) VC EVADE RECKLES-FEL,2,2C,2021/04/16 03:58:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,5,5B,2021/04/17 02:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/04/16 21:00:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,2021/04/15 01:00:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,2021/04/09 01:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,2021/04/17 01:00:00+00
5404,TRAFFIC,23550.5(A) VC DUI W/PRIOR FEL,5,5C,2021/04/16 07:14:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,2021/04/15 13:36:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,2021/04/16 02:51:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6E,2021/04/16 06:57:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,2021/04/16 00:00:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,2021/04/16 07:30:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,2021/03/01 21:00:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,2021/04/16 16:41:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,2021/04/16 20:23:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6C,2021/04/16 07:30:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,2021/04/16 17:21:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,2021/04/16 17:54:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,2021/04/17 15:04:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,2021/03/26 21:30:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,3,3A,2021/04/17 07:47:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,4,4C,2021/04/06 15:00:00+00
2307,LARCENY,487(A) GRAND THEFT-COIN MACHIN,6,6B,2021/04/16 18:55:00+00
1203,ROBBERY,211 PC ROBBERY-SHOPLIFT,3,3M,2021/04/16 03:08:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,3,3M,2021/04/16 22:33:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,2021/04/17 07:32:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,2021/04/17 09:25:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1C,2021/04/16 21:35:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,2021/04/17 01:30:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,3,3A,2021/04/17 06:52:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,2021/04/16 23:00:00+00
5707,PRIVACY,602 PC TRESPASS,4,4A,2021/04/17 19:56:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,2021/04/17 11:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,2021/04/17 02:38:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,2021/04/17 09:00:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4B,2021/04/13 17:21:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3B,2021/04/06 20:17:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,2021/03/27 02:29:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,2021/04/03 02:34:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,2021/04/02 19:03:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4B,2021/04/04 05:51:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3A,2021/04/14 04:53:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,2021/04/17 00:00:00+00
5212,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,4,4A,2021/04/17 01:19:00+00
2803,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2A,2021/04/17 02:57:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6B,2021/04/17 17:25:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2B,2021/04/13 23:30:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,2021/04/17 05:55:00+00
5404,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,6,6B,2021/04/17 17:00:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,2021/04/11 00:13:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/04/18 08:00:00+00
1310,ASSAULT,245(D)(1)AWDW/FIREARM/OFFICER,3,3B,2021/04/18 05:06:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6A,2021/04/06 19:14:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,2021/04/07 04:27:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/04/18 09:30:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6A,2021/04/04 05:24:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,2021/04/04 19:45:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,2021/04/04 22:34:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,2021/04/08 17:15:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,2021/04/18 08:00:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/08 21:31:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/04/18 08:00:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/13 00:04:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,2021/04/14 05:21:00+00
3571,NARCOTICS,11378 HS POSS/SALE AMPHETAMINE,2,2B,2021/04/17 16:00:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6C,2021/04/17 17:07:00+00
7399,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6B,2021/04/17 18:00:00+00
3599,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2C,2021/04/18 01:54:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1B,2021/04/18 08:02:00+00
5011,OBST JUDICIARY,3056 PAROLE VIOLATION,1,1B,2021/04/17 14:45:00+00
5005,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6A,2021/04/17 00:31:00+00
5005,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,5,5B,2021/04/17 17:48:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-M,3,3A,2021/04/17 23:10:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6E,2021/04/16 18:45:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6B,2021/04/15 23:30:00+00
2399,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4C,2021/04/14 01:00:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,2021/04/13 18:20:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,2021/03/26 21:35:00+00
2399,LARCENY,487(A) GRAND THFT-RECYCL METAL,3,3B,2021/04/14 15:30:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6D,2021/04/14 03:25:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6B,2021/04/13 02:00:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6E,2021/04/08 15:30:00+00
2399,LARCENY,484 PC PETTY THEFT,3,3A,2021/04/10 17:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6A,2021/04/14 10:30:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3M,2021/04/15 14:30:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6E,2021/04/13 05:00:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/04/06 19:55:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6E,2021/03/31 18:15:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6E,2021/03/19 08:45:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6C,2021/03/26 05:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3M,2021/04/18 04:48:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/04/12 00:15:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/04/15 06:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1C,2021/04/15 06:00:00+00
2303,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6B,2021/04/18 03:22:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5A,2021/04/12 20:10:00+00
2305,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6E,2021/04/13 10:00:00+00
2399,LARCENY,484 PC PETTY THEFT,1,1C,2021/04/07 23:50:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1B,2021/04/08 04:45:00+00
2310,LARCENY,1708 US THEFT OF MAIL,1,1C,2021/04/15 07:38:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2A,2021/04/15 09:00:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,2021/04/13 22:45:00+00
5005,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,5,5C,2021/04/14 07:30:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,2021/03/31 05:16:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,2021/04/16 11:57:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,2021/04/16 12:28:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3M,2021/04/18 05:16:00+00
2305,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6E,2021/04/15 10:35:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/04/13 01:50:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,2021/04/14 22:37:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5A,2021/04/15 07:46:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,2021/04/15 15:06:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,2021/04/15 18:57:00+00
7399,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,2021/04/18 22:18:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,1,1C,2021/04/17 22:27:00+00
5212,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,2021/04/16 22:48:00+00
5299,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,1,1C,2021/04/17 08:31:00+00
5212,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,5,5B,2021/04/18 06:05:00+00
1313,BATTERY,243(B) PC BATTERY EMERG PERSON,6,6B,2021/04/18 01:57:00+00
4801,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,2021/04/16 12:37:00+00
4801,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,1,1C,2021/04/17 22:41:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1C,2021/04/17 06:19:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,4,4C,2021/04/17 04:20:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-M,6,6B,2021/04/17 11:01:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,2021/04/13 17:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/04/17 21:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,2021/04/18 06:51:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,6,6B,2021/04/19 00:53:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,2021/04/19 03:17:00+00
5404,TRAFFIC,21200.5 VC BICYCLE DUI,3,3M,2021/04/19 06:41:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1C,2021/02/18 01:07:00+00
5401,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1C,2021/03/22 08:52:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,2021/04/18 03:00:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6A,2021/04/09 00:59:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,2021/04/16 04:12:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1A,2021/04/09 15:39:00+00
5499,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,4,4B,2021/04/19 06:10:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,2021/04/18 03:00:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,2021/04/18 15:05:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,2021/04/11 01:51:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,2021/04/16 15:39:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,2021/04/19 11:12:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,2021/04/16 19:18:00+00
4803,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,2,2B,2021/04/18 00:07:00+00
2310,LARCENY,1708 US THEFT OF MAIL,1,1B,2021/04/18 04:44:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,2021/04/16 20:16:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6B,2021/04/18 07:14:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,2021/04/15 23:35:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,2021/04/17 09:14:00+00
1299,ROBBERY,211 PC ROBBERY-BUSINESS,1,1C,2021/04/12 03:16:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,2021/04/16 20:21:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,1,1A,2021/04/18 20:35:00+00
